command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_a8a358bf_4727.c								
ANR	2	Function	cpu_x86_find_by_name	1:0:0:4248							
ANR	3	FunctionDef	"cpu_x86_find_by_name (x86_def_t * x86_cpu_def , const char * cpu_model)"		2	0					
ANR	4	CompoundStatement		2:0:79:4248	2	0					
ANR	5	IdentifierDeclStatement	unsigned int i ;	3:4:85:99	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	unsigned int		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	IdentifierDeclStatement	x86_def_t * def ;	4:4:105:119	2	1	True				
ANR	10	IdentifierDecl	* def		2	0					
ANR	11	IdentifierDeclType	x86_def_t *		2	0					
ANR	12	Identifier	def		2	1					
ANR	13	IdentifierDeclStatement	char * s = strdup ( cpu_model ) ;	6:4:126:153	2	2	True				
ANR	14	IdentifierDecl	* s = strdup ( cpu_model )		2	0					
ANR	15	IdentifierDeclType	char *		2	0					
ANR	16	Identifier	s		2	1					
ANR	17	AssignmentExpression	* s = strdup ( cpu_model )		2	2		=			
ANR	18	Identifier	s		2	0					
ANR	19	CallExpression	strdup ( cpu_model )		2	1					
ANR	20	Callee	strdup		2	0					
ANR	21	Identifier	strdup		2	0					
ANR	22	ArgumentList	cpu_model		2	1					
ANR	23	Argument	cpu_model		2	0					
ANR	24	Identifier	cpu_model		2	0					
ANR	25	IdentifierDeclStatement	"char * featurestr , * name = strtok ( s , "","" ) ;"	7:4:159:199	2	3	True				
ANR	26	IdentifierDecl	* featurestr		2	0					
ANR	27	IdentifierDeclType	char *		2	0					
ANR	28	Identifier	featurestr		2	1					
ANR	29	IdentifierDecl	"* name = strtok ( s , "","" )"		2	1					
ANR	30	IdentifierDeclType	char *		2	0					
ANR	31	Identifier	name		2	1					
ANR	32	AssignmentExpression	"* name = strtok ( s , "","" )"		2	2		=			
ANR	33	Identifier	name		2	0					
ANR	34	CallExpression	"strtok ( s , "","" )"		2	1					
ANR	35	Callee	strtok		2	0					
ANR	36	Identifier	strtok		2	0					
ANR	37	ArgumentList	s		2	1					
ANR	38	Argument	s		2	0					
ANR	39	Identifier	s		2	0					
ANR	40	Argument	""","""		2	1					
ANR	41	PrimaryExpression	""","""		2	0					
ANR	42	IdentifierDeclStatement	"uint32_t plus_features = 0 , plus_ext_features = 0 , plus_ext2_features = 0 , plus_ext3_features = 0 ;"	8:4:205:302	2	4	True				
ANR	43	IdentifierDecl	plus_features = 0		2	0					
ANR	44	IdentifierDeclType	uint32_t		2	0					
ANR	45	Identifier	plus_features		2	1					
ANR	46	AssignmentExpression	plus_features = 0		2	2		=			
ANR	47	Identifier	plus_features		2	0					
ANR	48	PrimaryExpression	0		2	1					
ANR	49	IdentifierDecl	plus_ext_features = 0		2	1					
ANR	50	IdentifierDeclType	uint32_t		2	0					
ANR	51	Identifier	plus_ext_features		2	1					
ANR	52	AssignmentExpression	plus_ext_features = 0		2	2		=			
ANR	53	Identifier	plus_ext_features		2	0					
ANR	54	PrimaryExpression	0		2	1					
ANR	55	IdentifierDecl	plus_ext2_features = 0		2	2					
ANR	56	IdentifierDeclType	uint32_t		2	0					
ANR	57	Identifier	plus_ext2_features		2	1					
ANR	58	AssignmentExpression	plus_ext2_features = 0		2	2		=			
ANR	59	Identifier	plus_ext2_features		2	0					
ANR	60	PrimaryExpression	0		2	1					
ANR	61	IdentifierDecl	plus_ext3_features = 0		2	3					
ANR	62	IdentifierDeclType	uint32_t		2	0					
ANR	63	Identifier	plus_ext3_features		2	1					
ANR	64	AssignmentExpression	plus_ext3_features = 0		2	2		=			
ANR	65	Identifier	plus_ext3_features		2	0					
ANR	66	PrimaryExpression	0		2	1					
ANR	67	IdentifierDeclStatement	"uint32_t minus_features = 0 , minus_ext_features = 0 , minus_ext2_features = 0 , minus_ext3_features = 0 ;"	9:4:308:409	2	5	True				
ANR	68	IdentifierDecl	minus_features = 0		2	0					
ANR	69	IdentifierDeclType	uint32_t		2	0					
ANR	70	Identifier	minus_features		2	1					
ANR	71	AssignmentExpression	minus_features = 0		2	2		=			
ANR	72	Identifier	minus_features		2	0					
ANR	73	PrimaryExpression	0		2	1					
ANR	74	IdentifierDecl	minus_ext_features = 0		2	1					
ANR	75	IdentifierDeclType	uint32_t		2	0					
ANR	76	Identifier	minus_ext_features		2	1					
ANR	77	AssignmentExpression	minus_ext_features = 0		2	2		=			
ANR	78	Identifier	minus_ext_features		2	0					
ANR	79	PrimaryExpression	0		2	1					
ANR	80	IdentifierDecl	minus_ext2_features = 0		2	2					
ANR	81	IdentifierDeclType	uint32_t		2	0					
ANR	82	Identifier	minus_ext2_features		2	1					
ANR	83	AssignmentExpression	minus_ext2_features = 0		2	2		=			
ANR	84	Identifier	minus_ext2_features		2	0					
ANR	85	PrimaryExpression	0		2	1					
ANR	86	IdentifierDecl	minus_ext3_features = 0		2	3					
ANR	87	IdentifierDeclType	uint32_t		2	0					
ANR	88	Identifier	minus_ext3_features		2	1					
ANR	89	AssignmentExpression	minus_ext3_features = 0		2	2		=			
ANR	90	Identifier	minus_ext3_features		2	0					
ANR	91	PrimaryExpression	0		2	1					
ANR	92	IdentifierDeclStatement	"int family = - 1 , model = - 1 , stepping = - 1 ;"	10:4:415:457	2	6	True				
ANR	93	IdentifierDecl	family = - 1		2	0					
ANR	94	IdentifierDeclType	int		2	0					
ANR	95	Identifier	family		2	1					
ANR	96	AssignmentExpression	family = - 1		2	2		=			
ANR	97	Identifier	family		2	0					
ANR	98	UnaryOperationExpression	- 1		2	1					
ANR	99	UnaryOperator	-		2	0					
ANR	100	PrimaryExpression	1		2	1					
ANR	101	IdentifierDecl	model = - 1		2	1					
ANR	102	IdentifierDeclType	int		2	0					
ANR	103	Identifier	model		2	1					
ANR	104	AssignmentExpression	model = - 1		2	2		=			
ANR	105	Identifier	model		2	0					
