start	end	type	var
7	8	IS_AST_PARENT	
6	7	IS_AST_PARENT	
10	11	IS_AST_PARENT	
9	10	IS_AST_PARENT	
12	13	IS_AST_PARENT	
9	12	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
16	17	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	18	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	19	IS_AST_PARENT	
3	20	IS_AST_PARENT	
3	21	IS_AST_PARENT	
22	5	FLOWS_TO	
5	14	FLOWS_TO	
14	23	FLOWS_TO	
5	24	USE	
12	24	USE	
5	25	USE	
10	25	USE	
22	5	CONTROLS	
22	14	CONTROLS	
22	22	DOM	
5	14	DOM	
14	23	DOM	
22	5	DOM	
5	22	POST_DOM	
23	23	POST_DOM	
23	14	POST_DOM	
14	5	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	22	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
