command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_a97fed52_9524.c								
ANR	2	Function	op_store_msr_32	1:0:0:83							
ANR	3	FunctionDef	op_store_msr_32 ()		2	0					
ANR	4	CompoundStatement		2:0:36:83	2	0					
ANR	5	ExpressionStatement	"ppc_store_msr_32 ( env , T0 )"	3:4:42:67	2	0	True				
ANR	6	CallExpression	"ppc_store_msr_32 ( env , T0 )"		2	0					
ANR	7	Callee	ppc_store_msr_32		2	0					
ANR	8	Identifier	ppc_store_msr_32		2	0					
ANR	9	ArgumentList	env		2	1					
ANR	10	Argument	env		2	0					
ANR	11	Identifier	env		2	0					
ANR	12	Argument	T0		2	1					
ANR	13	Identifier	T0		2	0					
ANR	14	ExpressionStatement	RETURN ( )	4:4:73:81	2	1	True				
ANR	15	CallExpression	RETURN ( )		2	0					
ANR	16	Callee	RETURN		2	0					
ANR	17	Identifier	RETURN		2	0					
ANR	18	ArgumentList			2	1					
ANR	19	ReturnType	void OPPROTO		2	1					
ANR	20	Identifier	op_store_msr_32		2	2					
ANR	21	ParameterList			2	3					
ANR	22	CFGEntryNode	ENTRY		2		True				
ANR	23	CFGExitNode	EXIT		2		True				
ANR	24	Symbol	T0		2						
ANR	25	Symbol	env		2						
