command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/FFmpeg_55a72738_7652.c								
ANR	2	Function	metadata_parse	1:0:0:1298							
ANR	3	FunctionDef	metadata_parse (FLACContext * s)		2	0					
ANR	4	CompoundStatement		2:0:42:1298	2	0					
ANR	5	IdentifierDeclStatement	"int i , metadata_last , metadata_type , metadata_size ;"	3:4:48:98	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	IdentifierDecl	metadata_last		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	metadata_last		2	1					
ANR	12	IdentifierDecl	metadata_type		2	2					
ANR	13	IdentifierDeclType	int		2	0					
ANR	14	Identifier	metadata_type		2	1					
ANR	15	IdentifierDecl	metadata_size		2	3					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	metadata_size		2	1					
ANR	18	IdentifierDeclStatement	int initial_pos = get_bits_count ( & s -> gb ) ;	4:4:104:143	2	1	True				
ANR	19	IdentifierDecl	initial_pos = get_bits_count ( & s -> gb )		2	0					
ANR	20	IdentifierDeclType	int		2	0					
ANR	21	Identifier	initial_pos		2	1					
ANR	22	AssignmentExpression	initial_pos = get_bits_count ( & s -> gb )		2	2		=			
ANR	23	Identifier	initial_pos		2	0					
ANR	24	CallExpression	get_bits_count ( & s -> gb )		2	1					
ANR	25	Callee	get_bits_count		2	0					
ANR	26	Identifier	get_bits_count		2	0					
ANR	27	ArgumentList	& s -> gb		2	1					
ANR	28	Argument	& s -> gb		2	0					
ANR	29	UnaryOperationExpression	& s -> gb		2	0					
ANR	30	UnaryOperator	&		2	0					
ANR	31	PtrMemberAccess	s -> gb		2	1					
ANR	32	Identifier	s		2	0					
ANR	33	Identifier	gb		2	1					
ANR	34	IfStatement	"if ( show_bits_long ( & s -> gb , 32 ) == MKBETAG ( 'f' , 'L' , 'a' , 'C' ) )"		2	2					
ANR	35	Condition	"show_bits_long ( & s -> gb , 32 ) == MKBETAG ( 'f' , 'L' , 'a' , 'C' )"	6:8:154:207	2	0	True				
ANR	36	EqualityExpression	"show_bits_long ( & s -> gb , 32 ) == MKBETAG ( 'f' , 'L' , 'a' , 'C' )"		2	0		==			
ANR	37	CallExpression	"show_bits_long ( & s -> gb , 32 )"		2	0					
ANR	38	Callee	show_bits_long		2	0					
ANR	39	Identifier	show_bits_long		2	0					
