start	end	type	var
8	9	IS_AST_PARENT	
8	10	IS_AST_PARENT	
7	8	IS_AST_PARENT	
7	11	IS_AST_PARENT	
6	7	IS_AST_PARENT	
13	14	IS_AST_PARENT	
13	15	IS_AST_PARENT	
12	13	IS_AST_PARENT	
12	16	IS_AST_PARENT	
6	12	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	17	IS_AST_PARENT	
3	18	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	22	IS_AST_PARENT	
19	20	IS_AST_PARENT	
3	19	IS_AST_PARENT	
23	20	FLOWS_TO	
20	5	FLOWS_TO	
5	24	FLOWS_TO	
20	25	DEF	
5	25	USE	
8	25	USE	
13	25	USE	
5	26	USE	
5	27	USE	
5	28	USE	
5	29	USE	
20	5	REACHES	s
23	20	CONTROLS	
23	5	CONTROLS	
20	5	DOM	
5	24	DOM	
23	20	DOM	
23	23	DOM	
24	24	POST_DOM	
24	5	POST_DOM	
5	20	POST_DOM	
20	23	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	23	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
