command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_60fe637b_5166.c								
ANR	2	Function	migration_has_failed	1:0:0:136							
ANR	3	FunctionDef	migration_has_failed (MigrationState * s)		2	0					
ANR	4	CompoundStatement		2:0:45:136	2	0					
ANR	5	ReturnStatement	return ( s -> state == MIG_STATE_CANCELLED || s -> state == MIG_STATE_ERROR ) ;	3:4:51:134	2	0	True				
ANR	6	OrExpression	s -> state == MIG_STATE_CANCELLED || s -> state == MIG_STATE_ERROR		2	0		||			
ANR	7	EqualityExpression	s -> state == MIG_STATE_CANCELLED		2	0		==			
ANR	8	PtrMemberAccess	s -> state		2	0					
ANR	9	Identifier	s		2	0					
ANR	10	Identifier	state		2	1					
ANR	11	Identifier	MIG_STATE_CANCELLED		2	1					
ANR	12	EqualityExpression	s -> state == MIG_STATE_ERROR		2	1		==			
ANR	13	PtrMemberAccess	s -> state		2	0					
ANR	14	Identifier	s		2	0					
ANR	15	Identifier	state		2	1					
ANR	16	Identifier	MIG_STATE_ERROR		2	1					
ANR	17	ReturnType	bool		2	1					
ANR	18	Identifier	migration_has_failed		2	2					
ANR	19	ParameterList	MigrationState * s		2	3					
ANR	20	Parameter	MigrationState * s	1:26:26:42	2	0	True				
ANR	21	ParameterType	MigrationState *		2	0					
ANR	22	Identifier	s		2	1					
ANR	23	CFGEntryNode	ENTRY		2		True				
ANR	24	CFGExitNode	EXIT		2		True				
ANR	25	Symbol	s		2						
ANR	26	Symbol	s -> state		2						
ANR	27	Symbol	MIG_STATE_ERROR		2						
ANR	28	Symbol	MIG_STATE_CANCELLED		2						
ANR	29	Symbol	* s		2						
