start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
18	19	IS_AST_PARENT	
21	22	IS_AST_PARENT	
21	23	IS_AST_PARENT	
20	21	IS_AST_PARENT	
20	24	IS_AST_PARENT	
18	20	IS_AST_PARENT	
15	18	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
26	27	IS_AST_PARENT	
26	28	IS_AST_PARENT	
29	30	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
29	31	IS_AST_PARENT	
26	29	IS_AST_PARENT	
25	26	IS_AST_PARENT	
4	25	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	37	IS_AST_PARENT	
34	35	IS_AST_PARENT	
38	39	IS_AST_PARENT	
38	40	IS_AST_PARENT	
34	38	IS_AST_PARENT	
4	34	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	44	IS_AST_PARENT	
41	42	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	47	IS_AST_PARENT	
41	45	IS_AST_PARENT	
4	41	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
52	53	IS_AST_PARENT	
56	57	IS_AST_PARENT	
58	59	IS_AST_PARENT	
58	60	IS_AST_PARENT	
56	58	IS_AST_PARENT	
55	56	IS_AST_PARENT	
54	55	IS_AST_PARENT	
54	61	IS_AST_PARENT	
54	62	IS_AST_PARENT	
52	54	IS_AST_PARENT	
49	52	IS_AST_PARENT	
48	49	IS_AST_PARENT	
4	48	IS_AST_PARENT	
65	66	IS_AST_PARENT	
67	68	IS_AST_PARENT	
67	69	IS_AST_PARENT	
65	67	IS_AST_PARENT	
64	65	IS_AST_PARENT	
63	64	IS_AST_PARENT	
72	73	IS_AST_PARENT	
72	74	IS_AST_PARENT	
71	72	IS_AST_PARENT	
76	77	IS_AST_PARENT	
75	76	IS_AST_PARENT	
80	81	IS_AST_PARENT	
80	82	IS_AST_PARENT	
79	80	IS_AST_PARENT	
78	79	IS_AST_PARENT	
75	78	IS_AST_PARENT	
71	75	IS_AST_PARENT	
70	71	IS_AST_PARENT	
63	70	IS_AST_PARENT	
4	63	IS_AST_PARENT	
85	86	IS_AST_PARENT	
87	88	IS_AST_PARENT	
87	89	IS_AST_PARENT	
85	87	IS_AST_PARENT	
84	85	IS_AST_PARENT	
83	84	IS_AST_PARENT	
92	93	IS_AST_PARENT	
92	94	IS_AST_PARENT	
91	92	IS_AST_PARENT	
96	97	IS_AST_PARENT	
95	96	IS_AST_PARENT	
100	101	IS_AST_PARENT	
100	102	IS_AST_PARENT	
99	100	IS_AST_PARENT	
98	99	IS_AST_PARENT	
95	98	IS_AST_PARENT	
91	95	IS_AST_PARENT	
90	91	IS_AST_PARENT	
83	90	IS_AST_PARENT	
4	83	IS_AST_PARENT	
106	107	IS_AST_PARENT	
105	106	IS_AST_PARENT	
109	110	IS_AST_PARENT	
108	109	IS_AST_PARENT	
105	108	IS_AST_PARENT	
104	105	IS_AST_PARENT	
103	104	IS_AST_PARENT	
114	115	IS_AST_PARENT	
113	114	IS_AST_PARENT	
117	118	IS_AST_PARENT	
116	117	IS_AST_PARENT	
119	120	IS_AST_PARENT	
116	119	IS_AST_PARENT	
121	122	IS_AST_PARENT	
116	121	IS_AST_PARENT	
113	116	IS_AST_PARENT	
112	113	IS_AST_PARENT	
111	112	IS_AST_PARENT	
125	126	IS_AST_PARENT	
125	127	IS_AST_PARENT	
124	125	IS_AST_PARENT	
124	128	IS_AST_PARENT	
123	124	IS_AST_PARENT	
111	123	IS_AST_PARENT	
130	131	IS_AST_PARENT	
133	134	IS_AST_PARENT	
132	133	IS_AST_PARENT	
136	137	IS_AST_PARENT	
135	136	IS_AST_PARENT	
132	135	IS_AST_PARENT	
130	132	IS_AST_PARENT	
129	130	IS_AST_PARENT	
111	129	IS_AST_PARENT	
138	139	IS_AST_PARENT	
111	138	IS_AST_PARENT	
103	111	IS_AST_PARENT	
4	103	IS_AST_PARENT	
144	145	IS_AST_PARENT	
143	144	IS_AST_PARENT	
147	148	IS_AST_PARENT	
146	147	IS_AST_PARENT	
143	146	IS_AST_PARENT	
142	143	IS_AST_PARENT	
142	149	IS_AST_PARENT	
141	142	IS_AST_PARENT	
140	141	IS_AST_PARENT	
153	154	IS_AST_PARENT	
152	153	IS_AST_PARENT	
156	157	IS_AST_PARENT	
155	156	IS_AST_PARENT	
158	159	IS_AST_PARENT	
155	158	IS_AST_PARENT	
160	161	IS_AST_PARENT	
155	160	IS_AST_PARENT	
164	165	IS_AST_PARENT	
163	164	IS_AST_PARENT	
163	166	IS_AST_PARENT	
162	163	IS_AST_PARENT	
155	162	IS_AST_PARENT	
152	155	IS_AST_PARENT	
151	152	IS_AST_PARENT	
150	151	IS_AST_PARENT	
168	169	IS_AST_PARENT	
171	172	IS_AST_PARENT	
170	171	IS_AST_PARENT	
174	175	IS_AST_PARENT	
173	174	IS_AST_PARENT	
170	173	IS_AST_PARENT	
168	170	IS_AST_PARENT	
167	168	IS_AST_PARENT	
150	167	IS_AST_PARENT	
176	177	IS_AST_PARENT	
150	176	IS_AST_PARENT	
140	150	IS_AST_PARENT	
4	140	IS_AST_PARENT	
182	183	IS_AST_PARENT	
182	184	IS_AST_PARENT	
181	182	IS_AST_PARENT	
181	185	IS_AST_PARENT	
180	181	IS_AST_PARENT	
188	189	IS_AST_PARENT	
188	190	IS_AST_PARENT	
187	188	IS_AST_PARENT	
187	191	IS_AST_PARENT	
186	187	IS_AST_PARENT	
193	194	IS_AST_PARENT	
193	195	IS_AST_PARENT	
192	193	IS_AST_PARENT	
192	196	IS_AST_PARENT	
186	192	IS_AST_PARENT	
180	186	IS_AST_PARENT	
179	180	IS_AST_PARENT	
178	179	IS_AST_PARENT	
200	201	IS_AST_PARENT	
199	200	IS_AST_PARENT	
203	204	IS_AST_PARENT	
202	203	IS_AST_PARENT	
205	206	IS_AST_PARENT	
202	205	IS_AST_PARENT	
207	208	IS_AST_PARENT	
202	207	IS_AST_PARENT	
199	202	IS_AST_PARENT	
198	199	IS_AST_PARENT	
197	198	IS_AST_PARENT	
210	211	IS_AST_PARENT	
213	214	IS_AST_PARENT	
212	213	IS_AST_PARENT	
216	217	IS_AST_PARENT	
215	216	IS_AST_PARENT	
212	215	IS_AST_PARENT	
210	212	IS_AST_PARENT	
209	210	IS_AST_PARENT	
197	209	IS_AST_PARENT	
218	219	IS_AST_PARENT	
197	218	IS_AST_PARENT	
178	197	IS_AST_PARENT	
4	178	IS_AST_PARENT	
222	223	IS_AST_PARENT	
222	224	IS_AST_PARENT	
221	222	IS_AST_PARENT	
220	221	IS_AST_PARENT	
228	229	IS_AST_PARENT	
228	230	IS_AST_PARENT	
227	228	IS_AST_PARENT	
227	231	IS_AST_PARENT	
226	227	IS_AST_PARENT	
226	232	IS_AST_PARENT	
225	226	IS_AST_PARENT	
220	225	IS_AST_PARENT	
233	234	IS_AST_PARENT	
233	235	IS_AST_PARENT	
220	233	IS_AST_PARENT	
241	242	IS_AST_PARENT	
241	243	IS_AST_PARENT	
240	241	IS_AST_PARENT	
240	244	IS_AST_PARENT	
239	240	IS_AST_PARENT	
245	246	IS_AST_PARENT	
245	247	IS_AST_PARENT	
239	245	IS_AST_PARENT	
238	239	IS_AST_PARENT	
237	238	IS_AST_PARENT	
251	252	IS_AST_PARENT	
251	253	IS_AST_PARENT	
250	251	IS_AST_PARENT	
255	256	IS_AST_PARENT	
255	257	IS_AST_PARENT	
254	255	IS_AST_PARENT	
254	258	IS_AST_PARENT	
250	254	IS_AST_PARENT	
249	250	IS_AST_PARENT	
248	249	IS_AST_PARENT	
248	259	IS_AST_PARENT	
237	248	IS_AST_PARENT	
236	237	IS_AST_PARENT	
220	236	IS_AST_PARENT	
4	220	IS_AST_PARENT	
262	263	IS_AST_PARENT	
264	265	IS_AST_PARENT	
264	266	IS_AST_PARENT	
262	264	IS_AST_PARENT	
261	262	IS_AST_PARENT	
260	261	IS_AST_PARENT	
270	271	IS_AST_PARENT	
269	270	IS_AST_PARENT	
273	274	IS_AST_PARENT	
272	273	IS_AST_PARENT	
275	276	IS_AST_PARENT	
272	275	IS_AST_PARENT	
277	278	IS_AST_PARENT	
272	277	IS_AST_PARENT	
281	282	IS_AST_PARENT	
280	281	IS_AST_PARENT	
285	286	IS_AST_PARENT	
285	287	IS_AST_PARENT	
284	285	IS_AST_PARENT	
283	284	IS_AST_PARENT	
280	283	IS_AST_PARENT	
279	280	IS_AST_PARENT	
272	279	IS_AST_PARENT	
269	272	IS_AST_PARENT	
268	269	IS_AST_PARENT	
267	268	IS_AST_PARENT	
289	290	IS_AST_PARENT	
292	293	IS_AST_PARENT	
291	292	IS_AST_PARENT	
295	296	IS_AST_PARENT	
294	295	IS_AST_PARENT	
291	294	IS_AST_PARENT	
289	291	IS_AST_PARENT	
288	289	IS_AST_PARENT	
267	288	IS_AST_PARENT	
297	298	IS_AST_PARENT	
267	297	IS_AST_PARENT	
260	267	IS_AST_PARENT	
304	305	IS_AST_PARENT	
304	306	IS_AST_PARENT	
303	304	IS_AST_PARENT	
307	308	IS_AST_PARENT	
307	309	IS_AST_PARENT	
303	307	IS_AST_PARENT	
302	303	IS_AST_PARENT	
301	302	IS_AST_PARENT	
313	314	IS_AST_PARENT	
313	315	IS_AST_PARENT	
312	313	IS_AST_PARENT	
316	317	IS_AST_PARENT	
316	318	IS_AST_PARENT	
312	316	IS_AST_PARENT	
311	312	IS_AST_PARENT	
310	311	IS_AST_PARENT	
321	322	IS_AST_PARENT	
321	323	IS_AST_PARENT	
320	321	IS_AST_PARENT	
325	326	IS_AST_PARENT	
324	325	IS_AST_PARENT	
329	330	IS_AST_PARENT	
329	331	IS_AST_PARENT	
328	329	IS_AST_PARENT	
327	328	IS_AST_PARENT	
333	334	IS_AST_PARENT	
333	335	IS_AST_PARENT	
332	333	IS_AST_PARENT	
327	332	IS_AST_PARENT	
337	338	IS_AST_PARENT	
337	339	IS_AST_PARENT	
336	337	IS_AST_PARENT	
327	336	IS_AST_PARENT	
324	327	IS_AST_PARENT	
320	324	IS_AST_PARENT	
319	320	IS_AST_PARENT	
310	319	IS_AST_PARENT	
301	310	IS_AST_PARENT	
344	345	IS_AST_PARENT	
344	346	IS_AST_PARENT	
343	344	IS_AST_PARENT	
347	348	IS_AST_PARENT	
347	349	IS_AST_PARENT	
343	347	IS_AST_PARENT	
342	343	IS_AST_PARENT	
341	342	IS_AST_PARENT	
352	353	IS_AST_PARENT	
352	354	IS_AST_PARENT	
351	352	IS_AST_PARENT	
356	357	IS_AST_PARENT	
355	356	IS_AST_PARENT	
360	361	IS_AST_PARENT	
360	362	IS_AST_PARENT	
359	360	IS_AST_PARENT	
358	359	IS_AST_PARENT	
364	365	IS_AST_PARENT	
364	366	IS_AST_PARENT	
363	364	IS_AST_PARENT	
358	363	IS_AST_PARENT	
368	369	IS_AST_PARENT	
368	370	IS_AST_PARENT	
367	368	IS_AST_PARENT	
358	367	IS_AST_PARENT	
355	358	IS_AST_PARENT	
351	355	IS_AST_PARENT	
350	351	IS_AST_PARENT	
341	350	IS_AST_PARENT	
340	341	IS_AST_PARENT	
301	340	IS_AST_PARENT	
300	301	IS_AST_PARENT	
373	374	IS_AST_PARENT	
373	375	IS_AST_PARENT	
372	373	IS_AST_PARENT	
376	377	IS_AST_PARENT	
376	378	IS_AST_PARENT	
372	376	IS_AST_PARENT	
371	372	IS_AST_PARENT	
300	371	IS_AST_PARENT	
381	382	IS_AST_PARENT	
381	383	IS_AST_PARENT	
380	381	IS_AST_PARENT	
384	385	IS_AST_PARENT	
384	386	IS_AST_PARENT	
380	384	IS_AST_PARENT	
379	380	IS_AST_PARENT	
300	379	IS_AST_PARENT	
299	300	IS_AST_PARENT	
260	299	IS_AST_PARENT	
4	260	IS_AST_PARENT	
4	387	IS_AST_PARENT	
4	388	IS_AST_PARENT	
4	389	IS_AST_PARENT	
4	390	IS_AST_PARENT	
4	391	IS_AST_PARENT	
4	392	IS_AST_PARENT	
4	393	IS_AST_PARENT	
4	394	IS_AST_PARENT	
4	395	IS_AST_PARENT	
4	396	IS_AST_PARENT	
397	398	IS_AST_PARENT	
4	397	IS_AST_PARENT	
4	399	IS_AST_PARENT	
4	400	IS_AST_PARENT	
4	401	IS_AST_PARENT	
402	403	IS_AST_PARENT	
402	404	IS_AST_PARENT	
402	405	IS_AST_PARENT	
4	402	IS_AST_PARENT	
4	406	IS_AST_PARENT	
4	407	IS_AST_PARENT	
4	408	IS_AST_PARENT	
4	409	IS_AST_PARENT	
4	410	IS_AST_PARENT	
4	411	IS_AST_PARENT	
4	412	IS_AST_PARENT	
4	413	IS_AST_PARENT	
4	414	IS_AST_PARENT	
4	415	IS_AST_PARENT	
416	417	IS_AST_PARENT	
416	418	IS_AST_PARENT	
416	419	IS_AST_PARENT	
416	420	IS_AST_PARENT	
416	421	IS_AST_PARENT	
416	422	IS_AST_PARENT	
416	423	IS_AST_PARENT	
4	416	IS_AST_PARENT	
4	424	IS_AST_PARENT	
4	425	IS_AST_PARENT	
429	430	IS_AST_PARENT	
429	431	IS_AST_PARENT	
428	429	IS_AST_PARENT	
432	433	IS_AST_PARENT	
432	434	IS_AST_PARENT	
428	432	IS_AST_PARENT	
427	428	IS_AST_PARENT	
426	427	IS_AST_PARENT	
435	436	IS_AST_PARENT	
435	437	IS_AST_PARENT	
435	438	IS_AST_PARENT	
435	439	IS_AST_PARENT	
435	440	IS_AST_PARENT	
435	441	IS_AST_PARENT	
435	442	IS_AST_PARENT	
435	443	IS_AST_PARENT	
435	444	IS_AST_PARENT	
445	446	IS_AST_PARENT	
445	447	IS_AST_PARENT	
445	448	IS_AST_PARENT	
445	449	IS_AST_PARENT	
445	450	IS_AST_PARENT	
445	451	IS_AST_PARENT	
445	452	IS_AST_PARENT	
435	445	IS_AST_PARENT	
435	453	IS_AST_PARENT	
435	454	IS_AST_PARENT	
435	455	IS_AST_PARENT	
435	456	IS_AST_PARENT	
460	461	IS_AST_PARENT	
460	462	IS_AST_PARENT	
459	460	IS_AST_PARENT	
463	464	IS_AST_PARENT	
463	465	IS_AST_PARENT	
459	463	IS_AST_PARENT	
458	459	IS_AST_PARENT	
457	458	IS_AST_PARENT	
468	469	IS_AST_PARENT	
468	470	IS_AST_PARENT	
467	468	IS_AST_PARENT	
472	473	IS_AST_PARENT	
471	472	IS_AST_PARENT	
476	477	IS_AST_PARENT	
476	478	IS_AST_PARENT	
475	476	IS_AST_PARENT	
474	475	IS_AST_PARENT	
480	481	IS_AST_PARENT	
480	482	IS_AST_PARENT	
479	480	IS_AST_PARENT	
474	479	IS_AST_PARENT	
484	485	IS_AST_PARENT	
484	486	IS_AST_PARENT	
483	484	IS_AST_PARENT	
474	483	IS_AST_PARENT	
471	474	IS_AST_PARENT	
467	471	IS_AST_PARENT	
466	467	IS_AST_PARENT	
457	466	IS_AST_PARENT	
435	457	IS_AST_PARENT	
426	435	IS_AST_PARENT	
491	492	IS_AST_PARENT	
491	493	IS_AST_PARENT	
490	491	IS_AST_PARENT	
494	495	IS_AST_PARENT	
494	496	IS_AST_PARENT	
490	494	IS_AST_PARENT	
489	490	IS_AST_PARENT	
488	489	IS_AST_PARENT	
499	500	IS_AST_PARENT	
499	501	IS_AST_PARENT	
498	499	IS_AST_PARENT	
503	504	IS_AST_PARENT	
502	503	IS_AST_PARENT	
507	508	IS_AST_PARENT	
507	509	IS_AST_PARENT	
506	507	IS_AST_PARENT	
505	506	IS_AST_PARENT	
511	512	IS_AST_PARENT	
511	513	IS_AST_PARENT	
510	511	IS_AST_PARENT	
505	510	IS_AST_PARENT	
515	516	IS_AST_PARENT	
515	517	IS_AST_PARENT	
514	515	IS_AST_PARENT	
505	514	IS_AST_PARENT	
502	505	IS_AST_PARENT	
498	502	IS_AST_PARENT	
497	498	IS_AST_PARENT	
488	497	IS_AST_PARENT	
487	488	IS_AST_PARENT	
426	487	IS_AST_PARENT	
4	426	IS_AST_PARENT	
520	521	IS_AST_PARENT	
520	522	IS_AST_PARENT	
519	520	IS_AST_PARENT	
525	526	IS_AST_PARENT	
