command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/FFmpeg_7de3b139_19455.c								
ANR	2	Function	sdl_write_header	1:0:0:4174							
ANR	3	FunctionDef	sdl_write_header (AVFormatContext * s)		2	0					
ANR	4	CompoundStatement		2:0:48:4174	2	0					
ANR	5	IdentifierDeclStatement	SDLContext * sdl = s -> priv_data ;	3:4:54:84	2	0	True				
ANR	6	IdentifierDecl	* sdl = s -> priv_data		2	0					
ANR	7	IdentifierDeclType	SDLContext *		2	0					
ANR	8	Identifier	sdl		2	1					
ANR	9	AssignmentExpression	* sdl = s -> priv_data		2	2		=			
ANR	10	Identifier	sdl		2	0					
ANR	11	PtrMemberAccess	s -> priv_data		2	1					
ANR	12	Identifier	s		2	0					
ANR	13	Identifier	priv_data		2	1					
ANR	14	IdentifierDeclStatement	AVStream * st = s -> streams [ 0 ] ;	4:4:90:118	2	1	True				
ANR	15	IdentifierDecl	* st = s -> streams [ 0 ]		2	0					
ANR	16	IdentifierDeclType	AVStream *		2	0					
ANR	17	Identifier	st		2	1					
ANR	18	AssignmentExpression	* st = s -> streams [ 0 ]		2	2		=			
ANR	19	Identifier	st		2	0					
ANR	20	ArrayIndexing	s -> streams [ 0 ]		2	1					
ANR	21	PtrMemberAccess	s -> streams		2	0					
ANR	22	Identifier	s		2	0					
ANR	23	Identifier	streams		2	1					
ANR	24	PrimaryExpression	0		2	1					
ANR	25	IdentifierDeclStatement	AVCodecContext * encctx = st -> codec ;	5:4:124:158	2	2	True				
ANR	26	IdentifierDecl	* encctx = st -> codec		2	0					
ANR	27	IdentifierDeclType	AVCodecContext *		2	0					
ANR	28	Identifier	encctx		2	1					
ANR	29	AssignmentExpression	* encctx = st -> codec		2	2		=			
ANR	30	Identifier	encctx		2	0					
ANR	31	PtrMemberAccess	st -> codec		2	1					
ANR	32	Identifier	st		2	0					
ANR	33	Identifier	codec		2	1					
ANR	34	IdentifierDeclStatement	"AVRational sar , dar ;"	6:4:164:183	2	3	True				
ANR	35	IdentifierDecl	sar		2	0					
ANR	36	IdentifierDeclType	AVRational		2	0					
ANR	37	Identifier	sar		2	1					
ANR	38	IdentifierDecl	dar		2	1					
ANR	39	IdentifierDeclType	AVRational		2	0					
ANR	40	Identifier	dar		2	1					
ANR	41	IdentifierDeclStatement	"int i , ret ;"	7:4:228:238	2	4	True				
ANR	42	IdentifierDecl	i		2	0					
ANR	43	IdentifierDeclType	int		2	0					
ANR	44	Identifier	i		2	1					
ANR	45	IdentifierDecl	ret		2	1					
ANR	46	IdentifierDeclType	int		2	0					
ANR	47	Identifier	ret		2	1					
ANR	48	IdentifierDeclStatement	int flags = SDL_SWSURFACE | sdl -> window_fullscreen ? SDL_FULLSCREEN : 0 ;	8:4:244:315	2	5	True				
ANR	49	IdentifierDecl	flags = SDL_SWSURFACE | sdl -> window_fullscreen ? SDL_FULLSCREEN : 0		2	0					
ANR	50	IdentifierDeclType	int		2	0					
ANR	51	Identifier	flags		2	1					
ANR	52	AssignmentExpression	flags = SDL_SWSURFACE | sdl -> window_fullscreen ? SDL_FULLSCREEN : 0		2	2		=			
ANR	53	Identifier	flags		2	0					
ANR	54	ConditionalExpression	SDL_SWSURFACE | sdl -> window_fullscreen ? SDL_FULLSCREEN : 0		2	1					
ANR	55	Condition	SDL_SWSURFACE | sdl -> window_fullscreen		2	0					
ANR	56	InclusiveOrExpression	SDL_SWSURFACE | sdl -> window_fullscreen		2	0		|			
ANR	57	Identifier	SDL_SWSURFACE		2	0					
ANR	58	PtrMemberAccess	sdl -> window_fullscreen		2	1					
ANR	59	Identifier	sdl		2	0					
ANR	60	Identifier	window_fullscreen		2	1					
ANR	61	Identifier	SDL_FULLSCREEN		2	1					
ANR	62	PrimaryExpression	0		2	2					
ANR	63	IfStatement	if ( ! sdl -> window_title )		2	6					
ANR	64	Condition	! sdl -> window_title	10:8:326:343	2	0	True				
ANR	65	UnaryOperationExpression	! sdl -> window_title		2	0					
ANR	66	UnaryOperator	!		2	0					
ANR	67	PtrMemberAccess	sdl -> window_title		2	1					
ANR	68	Identifier	sdl		2	0					
ANR	69	Identifier	window_title		2	1					
ANR	70	ExpressionStatement	sdl -> window_title = av_strdup ( s -> filename )	11:8:354:396	2	1	True				
ANR	71	AssignmentExpression	sdl -> window_title = av_strdup ( s -> filename )		2	0		=			
ANR	72	PtrMemberAccess	sdl -> window_title		2	0					
ANR	73	Identifier	sdl		2	0					
ANR	74	Identifier	window_title		2	1					
ANR	75	CallExpression	av_strdup ( s -> filename )		2	1					
ANR	76	Callee	av_strdup		2	0					
ANR	77	Identifier	av_strdup		2	0					
ANR	78	ArgumentList	s -> filename		2	1					
ANR	79	Argument	s -> filename		2	0					
ANR	80	PtrMemberAccess	s -> filename		2	0					
ANR	81	Identifier	s		2	0					
ANR	82	Identifier	filename		2	1					
ANR	83	IfStatement	if ( ! sdl -> icon_title )		2	7					
ANR	84	Condition	! sdl -> icon_title	12:8:406:421	2	0	True				
ANR	85	UnaryOperationExpression	! sdl -> icon_title		2	0					
ANR	86	UnaryOperator	!		2	0					
ANR	87	PtrMemberAccess	sdl -> icon_title		2	1					
ANR	88	Identifier	sdl		2	0					
ANR	89	Identifier	icon_title		2	1					
ANR	90	ExpressionStatement	sdl -> icon_title = av_strdup ( sdl -> window_title )	13:8:432:478	2	1	True				
ANR	91	AssignmentExpression	sdl -> icon_title = av_strdup ( sdl -> window_title )		2	0		=			
ANR	92	PtrMemberAccess	sdl -> icon_title		2	0					
ANR	93	Identifier	sdl		2	0					
ANR	94	Identifier	icon_title		2	1					
ANR	95	CallExpression	av_strdup ( sdl -> window_title )		2	1					
ANR	96	Callee	av_strdup		2	0					
ANR	97	Identifier	av_strdup		2	0					
ANR	98	ArgumentList	sdl -> window_title		2	1					
ANR	99	Argument	sdl -> window_title		2	0					
ANR	100	PtrMemberAccess	sdl -> window_title		2	0					
ANR	101	Identifier	sdl		2	0					
ANR	102	Identifier	window_title		2	1					
ANR	103	IfStatement	if ( SDL_WasInit ( SDL_INIT_VIDEO ) )		2	8					
ANR	104	Condition	SDL_WasInit ( SDL_INIT_VIDEO )	15:8:489:515	2	0	True				
ANR	105	CallExpression	SDL_WasInit ( SDL_INIT_VIDEO )		2	0					
ANR	106	Callee	SDL_WasInit		2	0					
ANR	107	Identifier	SDL_WasInit		2	0					
ANR	108	ArgumentList	SDL_INIT_VIDEO		2	1					
ANR	109	Argument	SDL_INIT_VIDEO		2	0					
ANR	110	Identifier	SDL_INIT_VIDEO		2	0					
ANR	111	CompoundStatement		14:37:469:469	2	1					
ANR	112	ExpressionStatement	"av_log ( s , AV_LOG_ERROR , ""SDL video subsystem was already inited, aborting\\n"" )"	16:8:528:620	2	0	True				
ANR	113	CallExpression	"av_log ( s , AV_LOG_ERROR , ""SDL video subsystem was already inited, aborting\\n"" )"		2	0					
ANR	114	Callee	av_log		2	0					
ANR	115	Identifier	av_log		2	0					
ANR	116	ArgumentList	s		2	1					
ANR	117	Argument	s		2	0					
ANR	118	Identifier	s		2	0					
ANR	119	Argument	AV_LOG_ERROR		2	1					
ANR	120	Identifier	AV_LOG_ERROR		2	0					
ANR	121	Argument	"""SDL video subsystem was already inited, aborting\\n"""		2	2					
ANR	122	PrimaryExpression	"""SDL video subsystem was already inited, aborting\\n"""		2	0					
ANR	123	ExpressionStatement	sdl -> sdl_was_already_inited = 1	18:8:630:661	2	1	True				
ANR	124	AssignmentExpression	sdl -> sdl_was_already_inited = 1		2	0		=			
ANR	125	PtrMemberAccess	sdl -> sdl_was_already_inited		2	0					
ANR	126	Identifier	sdl		2	0					
ANR	127	Identifier	sdl_was_already_inited		2	1					
ANR	128	PrimaryExpression	1		2	1					
ANR	129	ExpressionStatement	ret = AVERROR ( EINVAL )	19:8:671:692	2	2	True				
ANR	130	AssignmentExpression	ret = AVERROR ( EINVAL )		2	0		=			
ANR	131	Identifier	ret		2	0					
ANR	132	CallExpression	AVERROR ( EINVAL )		2	1					
ANR	133	Callee	AVERROR		2	0					
ANR	134	Identifier	AVERROR		2	0					
ANR	135	ArgumentList	EINVAL		2	1					
ANR	136	Argument	EINVAL		2	0					
ANR	137	Identifier	EINVAL		2	0					
ANR	138	GotoStatement	goto fail ;	20:8:702:711	2	3	True				
