command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	234	File	tmp/qemu_d0e7605e_16419.c								
ANR	235	Function	pflash_cfi02_register	1:0:0:4353							
ANR	236	FunctionDef	"pflash_cfi02_register (target_phys_addr_t base , ram_addr_t off , BlockDriverState * bs , uint32_t sector_len , int nb_blocs , int nb_mappings , int width , uint16_t id0 , uint16_t id1 , uint16_t id2 , uint16_t id3 , uint16_t unlock_addr0 , uint16_t unlock_addr1)"		235	0					
ANR	237	CompoundStatement		7:0:420:4353	235	0					
ANR	238	IdentifierDeclStatement	pflash_t * pfl ;	8:4:426:439	235	0	True				
ANR	239	IdentifierDecl	* pfl		235	0					
ANR	240	IdentifierDeclType	pflash_t *		235	0					
ANR	241	Identifier	pfl		235	1					
ANR	242	IdentifierDeclStatement	int32_t chip_len ;	9:4:445:461	235	1	True				
ANR	243	IdentifierDecl	chip_len		235	0					
ANR	244	IdentifierDeclType	int32_t		235	0					
ANR	245	Identifier	chip_len		235	1					
ANR	246	ExpressionStatement	chip_len = sector_len * nb_blocs	11:4:468:500	235	2	True				
ANR	247	AssignmentExpression	chip_len = sector_len * nb_blocs		235	0		=			
ANR	248	Identifier	chip_len		235	0					
ANR	249	MultiplicativeExpression	sector_len * nb_blocs		235	1		*			
ANR	250	Identifier	sector_len		235	0					
ANR	251	Identifier	nb_blocs		235	1					
ANR	252	IfStatement	if ( total_len != ( 8 * 1024 * 1024 ) && total_len != ( 16 * 1024 * 1024 ) && total_len != ( 32 * 1024 * 1024 ) && total_len != ( 64 * 1024 * 1024 ) )		235	3					
ANR	253	Condition	total_len != ( 8 * 1024 * 1024 ) && total_len != ( 16 * 1024 * 1024 ) && total_len != ( 32 * 1024 * 1024 ) && total_len != ( 64 * 1024 * 1024 )	14:8:543:685	235	0	True				
ANR	254	AndExpression	total_len != ( 8 * 1024 * 1024 ) && total_len != ( 16 * 1024 * 1024 ) && total_len != ( 32 * 1024 * 1024 ) && total_len != ( 64 * 1024 * 1024 )		235	0		&&			
ANR	255	EqualityExpression	total_len != ( 8 * 1024 * 1024 )		235	0		!=			
ANR	256	Identifier	total_len		235	0					
ANR	257	MultiplicativeExpression	8 * 1024 * 1024		235	1		*			
ANR	258	PrimaryExpression	8		235	0					
ANR	259	MultiplicativeExpression	1024 * 1024		235	1		*			
ANR	260	PrimaryExpression	1024		235	0					
ANR	261	PrimaryExpression	1024		235	1					
ANR	262	AndExpression	total_len != ( 16 * 1024 * 1024 ) && total_len != ( 32 * 1024 * 1024 ) && total_len != ( 64 * 1024 * 1024 )		235	1		&&			
ANR	263	EqualityExpression	total_len != ( 16 * 1024 * 1024 )		235	0		!=			
ANR	264	Identifier	total_len		235	0					
ANR	265	MultiplicativeExpression	16 * 1024 * 1024		235	1		*			
ANR	266	PrimaryExpression	16		235	0					
ANR	267	MultiplicativeExpression	1024 * 1024		235	1		*			
ANR	268	PrimaryExpression	1024		235	0					
ANR	269	PrimaryExpression	1024		235	1					
