start	end	type	var
200	201	IS_AST_PARENT	
200	202	IS_AST_PARENT	
199	200	IS_AST_PARENT	
198	199	IS_AST_PARENT	
204	205	IS_AST_PARENT	
204	206	IS_AST_PARENT	
203	204	IS_AST_PARENT	
207	208	IS_AST_PARENT	
207	209	IS_AST_PARENT	
203	207	IS_AST_PARENT	
198	203	IS_AST_PARENT	
211	212	IS_AST_PARENT	
214	215	IS_AST_PARENT	
213	214	IS_AST_PARENT	
217	218	IS_AST_PARENT	
216	217	IS_AST_PARENT	
219	220	IS_AST_PARENT	
216	219	IS_AST_PARENT	
221	222	IS_AST_PARENT	
216	221	IS_AST_PARENT	
213	216	IS_AST_PARENT	
211	213	IS_AST_PARENT	
210	211	IS_AST_PARENT	
198	210	IS_AST_PARENT	
225	226	IS_AST_PARENT	
225	227	IS_AST_PARENT	
224	225	IS_AST_PARENT	
223	224	IS_AST_PARENT	
231	232	IS_AST_PARENT	
230	231	IS_AST_PARENT	
234	235	IS_AST_PARENT	
233	234	IS_AST_PARENT	
230	233	IS_AST_PARENT	
229	230	IS_AST_PARENT	
228	229	IS_AST_PARENT	
237	238	IS_AST_PARENT	
237	239	IS_AST_PARENT	
236	237	IS_AST_PARENT	
228	236	IS_AST_PARENT	
223	228	IS_AST_PARENT	
198	223	IS_AST_PARENT	
242	243	IS_AST_PARENT	
241	242	IS_AST_PARENT	
245	246	IS_AST_PARENT	
244	245	IS_AST_PARENT	
247	248	IS_AST_PARENT	
244	247	IS_AST_PARENT	
249	250	IS_AST_PARENT	
244	249	IS_AST_PARENT	
241	244	IS_AST_PARENT	
240	241	IS_AST_PARENT	
198	240	IS_AST_PARENT	
253	254	IS_AST_PARENT	
252	253	IS_AST_PARENT	
256	257	IS_AST_PARENT	
255	256	IS_AST_PARENT	
252	255	IS_AST_PARENT	
251	252	IS_AST_PARENT	
198	251	IS_AST_PARENT	
260	261	IS_AST_PARENT	
260	262	IS_AST_PARENT	
259	260	IS_AST_PARENT	
259	263	IS_AST_PARENT	
258	259	IS_AST_PARENT	
198	258	IS_AST_PARENT	
266	267	IS_AST_PARENT	
266	268	IS_AST_PARENT	
265	266	IS_AST_PARENT	
270	271	IS_AST_PARENT	
269	270	IS_AST_PARENT	
273	274	IS_AST_PARENT	
272	273	IS_AST_PARENT	
269	272	IS_AST_PARENT	
265	269	IS_AST_PARENT	
264	265	IS_AST_PARENT	
198	264	IS_AST_PARENT	
278	279	IS_AST_PARENT	
278	280	IS_AST_PARENT	
277	278	IS_AST_PARENT	
277	281	IS_AST_PARENT	
276	277	IS_AST_PARENT	
276	282	IS_AST_PARENT	
275	276	IS_AST_PARENT	
198	275	IS_AST_PARENT	
284	285	IS_AST_PARENT	
287	288	IS_AST_PARENT	
286	287	IS_AST_PARENT	
290	291	IS_AST_PARENT	
289	290	IS_AST_PARENT	
293	294	IS_AST_PARENT	
295	296	IS_AST_PARENT	
295	297	IS_AST_PARENT	
293	295	IS_AST_PARENT	
292	293	IS_AST_PARENT	
289	292	IS_AST_PARENT	
299	300	IS_AST_PARENT	
299	301	IS_AST_PARENT	
