command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	195	File	tmp/qemu_96165b9e_9578.c								
ANR	196	Function	gdbserver_open	1:0:0:681							
ANR	197	FunctionDef	gdbserver_open (int port)		196	0					
ANR	198	CompoundStatement		2:0:36:681	196	0					
ANR	199	IdentifierDeclStatement	struct sockaddr_in sockaddr ;	3:4:42:69	196	0	True				
ANR	200	IdentifierDecl	sockaddr		196	0					
ANR	201	IdentifierDeclType	struct sockaddr_in		196	0					
ANR	202	Identifier	sockaddr		196	1					
ANR	203	IdentifierDeclStatement	"int fd , ret ;"	4:4:75:86	196	1	True				
ANR	204	IdentifierDecl	fd		196	0					
ANR	205	IdentifierDeclType	int		196	0					
ANR	206	Identifier	fd		196	1					
ANR	207	IdentifierDecl	ret		196	1					
ANR	208	IdentifierDeclType	int		196	0					
ANR	209	Identifier	ret		196	1					
ANR	210	ExpressionStatement	"fd = socket ( PF_INET , SOCK_STREAM , 0 )"	6:4:93:129	196	2	True				
ANR	211	AssignmentExpression	"fd = socket ( PF_INET , SOCK_STREAM , 0 )"		196	0		=			
ANR	212	Identifier	fd		196	0					
ANR	213	CallExpression	"socket ( PF_INET , SOCK_STREAM , 0 )"		196	1					
ANR	214	Callee	socket		196	0					
ANR	215	Identifier	socket		196	0					
ANR	216	ArgumentList	PF_INET		196	1					
ANR	217	Argument	PF_INET		196	0					
ANR	218	Identifier	PF_INET		196	0					
ANR	219	Argument	SOCK_STREAM		196	1					
ANR	220	Identifier	SOCK_STREAM		196	0					
ANR	221	Argument	0		196	2					
ANR	222	PrimaryExpression	0		196	0					
ANR	223	IfStatement	if ( fd < 0 )		196	3					
ANR	224	Condition	fd < 0	7:8:139:144	196	0	True				
ANR	225	RelationalExpression	fd < 0		196	0		<			
ANR	226	Identifier	fd		196	0					
ANR	227	PrimaryExpression	0		196	1					
ANR	228	CompoundStatement		6:16:110:110	196	1					
ANR	229	ExpressionStatement	"perror ( ""socket"" )"	8:8:157:173	196	0	True				
ANR	230	CallExpression	"perror ( ""socket"" )"		196	0					
ANR	231	Callee	perror		196	0					
ANR	232	Identifier	perror		196	0					
ANR	233	ArgumentList	"""socket"""		196	1					
ANR	234	Argument	"""socket"""		196	0					
ANR	235	PrimaryExpression	"""socket"""		196	0					
ANR	236	ReturnStatement	return - 1 ;	9:8:183:192	196	1	True				
ANR	237	UnaryOperationExpression	- 1		196	0					
ANR	238	UnaryOperator	-		196	0					
ANR	239	PrimaryExpression	1		196	1					
ANR	240	ExpressionStatement	"fcntl ( fd , F_SETFD , FD_CLOEXEC )"	12:4:219:249	196	4	True				
ANR	241	CallExpression	"fcntl ( fd , F_SETFD , FD_CLOEXEC )"		196	0					
ANR	242	Callee	fcntl		196	0					
ANR	243	Identifier	fcntl		196	0					
ANR	244	ArgumentList	fd		196	1					
ANR	245	Argument	fd		196	0					
ANR	246	Identifier	fd		196	0					
ANR	247	Argument	F_SETFD		196	1					
ANR	248	Identifier	F_SETFD		196	0					
ANR	249	Argument	FD_CLOEXEC		196	2					
ANR	250	Identifier	FD_CLOEXEC		196	0					
ANR	251	ExpressionStatement	socket_set_fast_reuse ( fd )	15:4:263:288	196	5	True				
ANR	252	CallExpression	socket_set_fast_reuse ( fd )		196	0					
ANR	253	Callee	socket_set_fast_reuse		196	0					
ANR	254	Identifier	socket_set_fast_reuse		196	0					
ANR	255	ArgumentList	fd		196	1					
ANR	256	Argument	fd		196	0					
