start	end	type	var
6	7	IS_AST_PARENT	
6	8	IS_AST_PARENT	
9	10	IS_AST_PARENT	
11	12	IS_AST_PARENT	
11	13	IS_AST_PARENT	
9	11	IS_AST_PARENT	
6	9	IS_AST_PARENT	
5	6	IS_AST_PARENT	
4	5	IS_AST_PARENT	
15	16	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
4	14	IS_AST_PARENT	
19	20	IS_AST_PARENT	
19	21	IS_AST_PARENT	
18	19	IS_AST_PARENT	
4	18	IS_AST_PARENT	
23	24	IS_AST_PARENT	
23	25	IS_AST_PARENT	
22	23	IS_AST_PARENT	
4	22	IS_AST_PARENT	
27	28	IS_AST_PARENT	
27	29	IS_AST_PARENT	
26	27	IS_AST_PARENT	
4	26	IS_AST_PARENT	
31	32	IS_AST_PARENT	
31	33	IS_AST_PARENT	
30	31	IS_AST_PARENT	
4	30	IS_AST_PARENT	
35	36	IS_AST_PARENT	
35	37	IS_AST_PARENT	
38	39	IS_AST_PARENT	
38	40	IS_AST_PARENT	
35	38	IS_AST_PARENT	
34	35	IS_AST_PARENT	
4	34	IS_AST_PARENT	
42	43	IS_AST_PARENT	
42	44	IS_AST_PARENT	
45	46	IS_AST_PARENT	
45	47	IS_AST_PARENT	
42	45	IS_AST_PARENT	
41	42	IS_AST_PARENT	
4	41	IS_AST_PARENT	
49	50	IS_AST_PARENT	
49	51	IS_AST_PARENT	
52	53	IS_AST_PARENT	
52	54	IS_AST_PARENT	
49	52	IS_AST_PARENT	
48	49	IS_AST_PARENT	
4	48	IS_AST_PARENT	
57	58	IS_AST_PARENT	
56	57	IS_AST_PARENT	
62	63	IS_AST_PARENT	
61	62	IS_AST_PARENT	
61	64	IS_AST_PARENT	
60	61	IS_AST_PARENT	
59	60	IS_AST_PARENT	
65	66	IS_AST_PARENT	
59	65	IS_AST_PARENT	
67	68	IS_AST_PARENT	
59	67	IS_AST_PARENT	
56	59	IS_AST_PARENT	
55	56	IS_AST_PARENT	
4	55	IS_AST_PARENT	
71	72	IS_AST_PARENT	
70	71	IS_AST_PARENT	
75	76	IS_AST_PARENT	
75	77	IS_AST_PARENT	
74	75	IS_AST_PARENT	
73	74	IS_AST_PARENT	
79	80	IS_AST_PARENT	
79	81	IS_AST_PARENT	
78	79	IS_AST_PARENT	
73	78	IS_AST_PARENT	
70	73	IS_AST_PARENT	
69	70	IS_AST_PARENT	
4	69	IS_AST_PARENT	
84	85	IS_AST_PARENT	
84	86	IS_AST_PARENT	
83	84	IS_AST_PARENT	
87	88	IS_AST_PARENT	
87	89	IS_AST_PARENT	
83	87	IS_AST_PARENT	
82	83	IS_AST_PARENT	
4	82	IS_AST_PARENT	
92	93	IS_AST_PARENT	
91	92	IS_AST_PARENT	
96	97	IS_AST_PARENT	
98	99	IS_AST_PARENT	
98	100	IS_AST_PARENT	
96	98	IS_AST_PARENT	
95	96	IS_AST_PARENT	
94	95	IS_AST_PARENT	
91	94	IS_AST_PARENT	
90	91	IS_AST_PARENT	
4	90	IS_AST_PARENT	
103	104	IS_AST_PARENT	
103	105	IS_AST_PARENT	
102	103	IS_AST_PARENT	
101	102	IS_AST_PARENT	
108	109	IS_AST_PARENT	
108	110	IS_AST_PARENT	
107	108	IS_AST_PARENT	
106	107	IS_AST_PARENT	
113	114	IS_AST_PARENT	
112	113	IS_AST_PARENT	
118	119	IS_AST_PARENT	
117	118	IS_AST_PARENT	
117	120	IS_AST_PARENT	
116	117	IS_AST_PARENT	
115	116	IS_AST_PARENT	
112	115	IS_AST_PARENT	
111	112	IS_AST_PARENT	
106	111	IS_AST_PARENT	
122	123	IS_AST_PARENT	
125	126	IS_AST_PARENT	
124	125	IS_AST_PARENT	
128	129	IS_AST_PARENT	
127	128	IS_AST_PARENT	
130	131	IS_AST_PARENT	
127	130	IS_AST_PARENT	
124	127	IS_AST_PARENT	
122	124	IS_AST_PARENT	
121	122	IS_AST_PARENT	
106	121	IS_AST_PARENT	
133	134	IS_AST_PARENT	
136	137	IS_AST_PARENT	
135	136	IS_AST_PARENT	
139	140	IS_AST_PARENT	
138	139	IS_AST_PARENT	
141	142	IS_AST_PARENT	
138	141	IS_AST_PARENT	
135	138	IS_AST_PARENT	
133	135	IS_AST_PARENT	
132	133	IS_AST_PARENT	
106	132	IS_AST_PARENT	
145	146	IS_AST_PARENT	
145	147	IS_AST_PARENT	
144	145	IS_AST_PARENT	
143	144	IS_AST_PARENT	
150	151	IS_AST_PARENT	
153	154	IS_AST_PARENT	
152	153	IS_AST_PARENT	
156	157	IS_AST_PARENT	
155	156	IS_AST_PARENT	
160	161	IS_AST_PARENT	
162	163	IS_AST_PARENT	
162	164	IS_AST_PARENT	
160	162	IS_AST_PARENT	
159	160	IS_AST_PARENT	
159	165	IS_AST_PARENT	
158	159	IS_AST_PARENT	
155	158	IS_AST_PARENT	
152	155	IS_AST_PARENT	
150	152	IS_AST_PARENT	
149	150	IS_AST_PARENT	
148	149	IS_AST_PARENT	
143	148	IS_AST_PARENT	
106	143	IS_AST_PARENT	
167	168	IS_AST_PARENT	
170	171	IS_AST_PARENT	
169	170	IS_AST_PARENT	
173	174	IS_AST_PARENT	
172	173	IS_AST_PARENT	
175	176	IS_AST_PARENT	
172	175	IS_AST_PARENT	
178	179	IS_AST_PARENT	
178	180	IS_AST_PARENT	
177	178	IS_AST_PARENT	
172	177	IS_AST_PARENT	
182	183	IS_AST_PARENT	
182	184	IS_AST_PARENT	
181	182	IS_AST_PARENT	
172	181	IS_AST_PARENT	
186	187	IS_AST_PARENT	
186	188	IS_AST_PARENT	
185	186	IS_AST_PARENT	
172	185	IS_AST_PARENT	
169	172	IS_AST_PARENT	
167	169	IS_AST_PARENT	
166	167	IS_AST_PARENT	
106	166	IS_AST_PARENT	
191	192	IS_AST_PARENT	
191	193	IS_AST_PARENT	
190	191	IS_AST_PARENT	
189	190	IS_AST_PARENT	
195	196	IS_AST_PARENT	
194	195	IS_AST_PARENT	
189	194	IS_AST_PARENT	
106	189	IS_AST_PARENT	
199	200	IS_AST_PARENT	
198	199	IS_AST_PARENT	
204	205	IS_AST_PARENT	
204	206	IS_AST_PARENT	
203	204	IS_AST_PARENT	
203	207	IS_AST_PARENT	
202	203	IS_AST_PARENT	
201	202	IS_AST_PARENT	
198	201	IS_AST_PARENT	
197	198	IS_AST_PARENT	
106	197	IS_AST_PARENT	
210	211	IS_AST_PARENT	
209	210	IS_AST_PARENT	
214	215	IS_AST_PARENT	
214	216	IS_AST_PARENT	
213	214	IS_AST_PARENT	
212	213	IS_AST_PARENT	
209	212	IS_AST_PARENT	
208	209	IS_AST_PARENT	
106	208	IS_AST_PARENT	
219	220	IS_AST_PARENT	
218	219	IS_AST_PARENT	
223	224	IS_AST_PARENT	
223	225	IS_AST_PARENT	
222	223	IS_AST_PARENT	
221	222	IS_AST_PARENT	
226	227	IS_AST_PARENT	
221	226	IS_AST_PARENT	
228	229	IS_AST_PARENT	
221	228	IS_AST_PARENT	
230	231	IS_AST_PARENT	
221	230	IS_AST_PARENT	
218	221	IS_AST_PARENT	
217	218	IS_AST_PARENT	
106	217	IS_AST_PARENT	
234	235	IS_AST_PARENT	
234	236	IS_AST_PARENT	
233	234	IS_AST_PARENT	
232	233	IS_AST_PARENT	
239	240	IS_AST_PARENT	
239	241	IS_AST_PARENT	
242	243	IS_AST_PARENT	
242	244	IS_AST_PARENT	
239	242	IS_AST_PARENT	
238	239	IS_AST_PARENT	
237	238	IS_AST_PARENT	
247	248	IS_AST_PARENT	
246	247	IS_AST_PARENT	
251	252	IS_AST_PARENT	
251	253	IS_AST_PARENT	
250	251	IS_AST_PARENT	
249	250	IS_AST_PARENT	
246	249	IS_AST_PARENT	
245	246	IS_AST_PARENT	
237	245	IS_AST_PARENT	
256	257	IS_AST_PARENT	
256	258	IS_AST_PARENT	
255	256	IS_AST_PARENT	
254	255	IS_AST_PARENT	
261	262	IS_AST_PARENT	
264	265	IS_AST_PARENT	
263	264	IS_AST_PARENT	
269	270	IS_AST_PARENT	
269	271	IS_AST_PARENT	
268	269	IS_AST_PARENT	
268	272	IS_AST_PARENT	
267	268	IS_AST_PARENT	
266	267	IS_AST_PARENT	
274	275	IS_AST_PARENT	
276	277	IS_AST_PARENT	
276	278	IS_AST_PARENT	
274	276	IS_AST_PARENT	
273	274	IS_AST_PARENT	
266	273	IS_AST_PARENT	
263	266	IS_AST_PARENT	
261	263	IS_AST_PARENT	
260	261	IS_AST_PARENT	
259	260	IS_AST_PARENT	
281	282	IS_AST_PARENT	
281	283	IS_AST_PARENT	
280	281	IS_AST_PARENT	
279	280	IS_AST_PARENT	
286	287	IS_AST_PARENT	
288	289	IS_AST_PARENT	
288	290	IS_AST_PARENT	
286	288	IS_AST_PARENT	
285	286	IS_AST_PARENT	
284	285	IS_AST_PARENT	
291	292	IS_AST_PARENT	
284	291	IS_AST_PARENT	
279	284	IS_AST_PARENT	
259	279	IS_AST_PARENT	
254	259	IS_AST_PARENT	
237	254	IS_AST_PARENT	
295	296	IS_AST_PARENT	
294	295	IS_AST_PARENT	
300	301	IS_AST_PARENT	
300	302	IS_AST_PARENT	
299	300	IS_AST_PARENT	
303	304	IS_AST_PARENT	
305	306	IS_AST_PARENT	
305	307	IS_AST_PARENT	
303	305	IS_AST_PARENT	
299	303	IS_AST_PARENT	
298	299	IS_AST_PARENT	
297	298	IS_AST_PARENT	
294	297	IS_AST_PARENT	
293	294	IS_AST_PARENT	
237	293	IS_AST_PARENT	
310	311	IS_AST_PARENT	
309	310	IS_AST_PARENT	
314	315	IS_AST_PARENT	
314	316	IS_AST_PARENT	
313	314	IS_AST_PARENT	
312	313	IS_AST_PARENT	
317	318	IS_AST_PARENT	
312	317	IS_AST_PARENT	
319	320	IS_AST_PARENT	
312	319	IS_AST_PARENT	
322	323	IS_AST_PARENT	
322	324	IS_AST_PARENT	
321	322	IS_AST_PARENT	
312	321	IS_AST_PARENT	
309	312	IS_AST_PARENT	
308	309	IS_AST_PARENT	
237	308	IS_AST_PARENT	
329	330	IS_AST_PARENT	
328	329	IS_AST_PARENT	
333	334	IS_AST_PARENT	
333	335	IS_AST_PARENT	
332	333	IS_AST_PARENT	
331	332	IS_AST_PARENT	
337	338	IS_AST_PARENT	
337	339	IS_AST_PARENT	
336	337	IS_AST_PARENT	
331	336	IS_AST_PARENT	
340	341	IS_AST_PARENT	
331	340	IS_AST_PARENT	
342	343	IS_AST_PARENT	
331	342	IS_AST_PARENT	
345	346	IS_AST_PARENT	
345	347	IS_AST_PARENT	
344	345	IS_AST_PARENT	
331	344	IS_AST_PARENT	
328	331	IS_AST_PARENT	
327	328	IS_AST_PARENT	
327	348	IS_AST_PARENT	
326	327	IS_AST_PARENT	
325	326	IS_AST_PARENT	
352	353	IS_AST_PARENT	
351	352	IS_AST_PARENT	
355	356	IS_AST_PARENT	
354	355	IS_AST_PARENT	
351	354	IS_AST_PARENT	
350	351	IS_AST_PARENT	
349	350	IS_AST_PARENT	
358	359	IS_AST_PARENT	
360	361	IS_AST_PARENT	
360	362	IS_AST_PARENT	
358	360	IS_AST_PARENT	
357	358	IS_AST_PARENT	
349	357	IS_AST_PARENT	
363	364	IS_AST_PARENT	
349	363	IS_AST_PARENT	
325	349	IS_AST_PARENT	
237	325	IS_AST_PARENT	
367	368	IS_AST_PARENT	
366	367	IS_AST_PARENT	
371	372	IS_AST_PARENT	
371	373	IS_AST_PARENT	
370	371	IS_AST_PARENT	
369	370	IS_AST_PARENT	
366	369	IS_AST_PARENT	
365	366	IS_AST_PARENT	
237	365	IS_AST_PARENT	
376	377	IS_AST_PARENT	
375	376	IS_AST_PARENT	
380	381	IS_AST_PARENT	
380	382	IS_AST_PARENT	
379	380	IS_AST_PARENT	
378	379	IS_AST_PARENT	
383	384	IS_AST_PARENT	
378	383	IS_AST_PARENT	
385	386	IS_AST_PARENT	
378	385	IS_AST_PARENT	
375	378	IS_AST_PARENT	
374	375	IS_AST_PARENT	
237	374	IS_AST_PARENT	
232	237	IS_AST_PARENT	
106	232	IS_AST_PARENT	
388	389	IS_AST_PARENT	
391	392	IS_AST_PARENT	
390	391	IS_AST_PARENT	
394	395	IS_AST_PARENT	
393	394	IS_AST_PARENT	
396	397	IS_AST_PARENT	
393	396	IS_AST_PARENT	
399	400	IS_AST_PARENT	
399	401	IS_AST_PARENT	
398	399	IS_AST_PARENT	
393	398	IS_AST_PARENT	
402	403	IS_AST_PARENT	
393	402	IS_AST_PARENT	
390	393	IS_AST_PARENT	
388	390	IS_AST_PARENT	
387	388	IS_AST_PARENT	
106	387	IS_AST_PARENT	
406	407	IS_AST_PARENT	
406	408	IS_AST_PARENT	
405	406	IS_AST_PARENT	
404	405	IS_AST_PARENT	
410	411	IS_AST_PARENT	
409	410	IS_AST_PARENT	
404	409	IS_AST_PARENT	
106	404	IS_AST_PARENT	
414	415	IS_AST_PARENT	
417	418	IS_AST_PARENT	
416	417	IS_AST_PARENT	
420	421	IS_AST_PARENT	
419	420	IS_AST_PARENT	
422	423	IS_AST_PARENT	
419	422	IS_AST_PARENT	
425	426	IS_AST_PARENT	
425	427	IS_AST_PARENT	
424	425	IS_AST_PARENT	
419	424	IS_AST_PARENT	
428	429	IS_AST_PARENT	
419	428	IS_AST_PARENT	
416	419	IS_AST_PARENT	
414	416	IS_AST_PARENT	
413	414	IS_AST_PARENT	
412	413	IS_AST_PARENT	
433	434	IS_AST_PARENT	
432	433	IS_AST_PARENT	
437	438	IS_AST_PARENT	
439	440	IS_AST_PARENT	
439	441	IS_AST_PARENT	
437	439	IS_AST_PARENT	
436	437	IS_AST_PARENT	
435	436	IS_AST_PARENT	
432	435	IS_AST_PARENT	
431	432	IS_AST_PARENT	
430	431	IS_AST_PARENT	
444	445	IS_AST_PARENT	
443	444	IS_AST_PARENT	
448	449	IS_AST_PARENT	
448	450	IS_AST_PARENT	
447	448	IS_AST_PARENT	
446	447	IS_AST_PARENT	
451	452	IS_AST_PARENT	
446	451	IS_AST_PARENT	
443	446	IS_AST_PARENT	
442	443	IS_AST_PARENT	
430	442	IS_AST_PARENT	
455	456	IS_AST_PARENT	
454	455	IS_AST_PARENT	
460	461	IS_AST_PARENT	
459	460	IS_AST_PARENT	
459	462	IS_AST_PARENT	
458	459	IS_AST_PARENT	
457	458	IS_AST_PARENT	
464	465	IS_AST_PARENT	
464	466	IS_AST_PARENT	
463	464	IS_AST_PARENT	
457	463	IS_AST_PARENT	
454	457	IS_AST_PARENT	
453	454	IS_AST_PARENT	
430	453	IS_AST_PARENT	
468	469	IS_AST_PARENT	
471	472	IS_AST_PARENT	
470	471	IS_AST_PARENT	
475	476	IS_AST_PARENT	
475	477	IS_AST_PARENT	
474	475	IS_AST_PARENT	
473	474	IS_AST_PARENT	
479	480	IS_AST_PARENT	
479	481	IS_AST_PARENT	
478	479	IS_AST_PARENT	
473	478	IS_AST_PARENT	
482	483	IS_AST_PARENT	
473	482	IS_AST_PARENT	
485	486	IS_AST_PARENT	
485	487	IS_AST_PARENT	
484	485	IS_AST_PARENT	
473	484	IS_AST_PARENT	
488	489	IS_AST_PARENT	
473	488	IS_AST_PARENT	
470	473	IS_AST_PARENT	
468	470	IS_AST_PARENT	
467	468	IS_AST_PARENT	
430	467	IS_AST_PARENT	
492	493	IS_AST_PARENT	
491	492	IS_AST_PARENT	
496	497	IS_AST_PARENT	
498	499	IS_AST_PARENT	
498	500	IS_AST_PARENT	
496	498	IS_AST_PARENT	
495	496	IS_AST_PARENT	
494	495	IS_AST_PARENT	
491	494	IS_AST_PARENT	
490	491	IS_AST_PARENT	
430	490	IS_AST_PARENT	
503	504	IS_AST_PARENT	
503	505	IS_AST_PARENT	
502	503	IS_AST_PARENT	
501	502	IS_AST_PARENT	
507	508	IS_AST_PARENT	
506	507	IS_AST_PARENT	
501	506	IS_AST_PARENT	
430	501	IS_AST_PARENT	
412	430	IS_AST_PARENT	
106	412	IS_AST_PARENT	
511	512	IS_AST_PARENT	
511	513	IS_AST_PARENT	
510	511	IS_AST_PARENT	
509	510	IS_AST_PARENT	
516	517	IS_AST_PARENT	
516	518	IS_AST_PARENT	
515	516	IS_AST_PARENT	
514	515	IS_AST_PARENT	
520	521	IS_AST_PARENT	
523	524	IS_AST_PARENT	
522	523	IS_AST_PARENT	
526	527	IS_AST_PARENT	
525	526	IS_AST_PARENT	
528	529	IS_AST_PARENT	
525	528	IS_AST_PARENT	
