command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/qemu_4652b8f3_7192.c								
ANR	2	Function	qcow2_co_pwritev	1:0:0:4748							
ANR	3	FunctionDef	"qcow2_co_pwritev (BlockDriverState * bs , uint64_t offset , uint64_t bytes , QEMUIOVector * qiov , int flags)"		2	0					
ANR	4	CompoundStatement		4:0:209:4748	2	0					
ANR	5	IdentifierDeclStatement	BDRVQcow2State * s = bs -> opaque ;	5:4:215:245	2	0	True				
ANR	6	IdentifierDecl	* s = bs -> opaque		2	0					
ANR	7	IdentifierDeclType	BDRVQcow2State *		2	0					
ANR	8	Identifier	s		2	1					
ANR	9	AssignmentExpression	* s = bs -> opaque		2	2		=			
ANR	10	Identifier	s		2	0					
ANR	11	PtrMemberAccess	bs -> opaque		2	1					
ANR	12	Identifier	bs		2	0					
ANR	13	Identifier	opaque		2	1					
ANR	14	IdentifierDeclStatement	int offset_in_cluster ;	6:4:251:272	2	1	True				
ANR	15	IdentifierDecl	offset_in_cluster		2	0					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	offset_in_cluster		2	1					
ANR	18	IdentifierDeclStatement	int ret ;	7:4:278:285	2	2	True				
ANR	19	IdentifierDecl	ret		2	0					
ANR	20	IdentifierDeclType	int		2	0					
ANR	21	Identifier	ret		2	1					
ANR	22	IdentifierDeclStatement	unsigned int cur_bytes ;	8:4:291:313	2	3	True				
ANR	23	IdentifierDecl	cur_bytes		2	0					
ANR	24	IdentifierDeclType	unsigned int		2	0					
ANR	25	Identifier	cur_bytes		2	1					
ANR	26	IdentifierDeclStatement	uint64_t cluster_offset ;	9:4:364:387	2	4	True				
ANR	27	IdentifierDecl	cluster_offset		2	0					
ANR	28	IdentifierDeclType	uint64_t		2	0					
ANR	29	Identifier	cluster_offset		2	1					
ANR	30	IdentifierDeclStatement	QEMUIOVector hd_qiov ;	10:4:393:413	2	5	True				
ANR	31	IdentifierDecl	hd_qiov		2	0					
ANR	32	IdentifierDeclType	QEMUIOVector		2	0					
ANR	33	Identifier	hd_qiov		2	1					
ANR	34	IdentifierDeclStatement	uint64_t bytes_done = 0 ;	11:4:419:442	2	6	True				
ANR	35	IdentifierDecl	bytes_done = 0		2	0					
ANR	36	IdentifierDeclType	uint64_t		2	0					
ANR	37	Identifier	bytes_done		2	1					
ANR	38	AssignmentExpression	bytes_done = 0		2	2		=			
ANR	39	Identifier	bytes_done		2	0					
ANR	40	PrimaryExpression	0		2	1					
ANR	41	IdentifierDeclStatement	uint8_t * cluster_data = NULL ;	12:4:448:476	2	7	True				
ANR	42	IdentifierDecl	* cluster_data = NULL		2	0					
ANR	43	IdentifierDeclType	uint8_t *		2	0					
ANR	44	Identifier	cluster_data		2	1					
ANR	45	AssignmentExpression	* cluster_data = NULL		2	2		=			
ANR	46	Identifier	NULL		2	0					
ANR	47	Identifier	NULL		2	1					
ANR	48	IdentifierDeclStatement	QCowL2Meta * l2meta = NULL ;	13:4:482:507	2	8	True				
ANR	49	IdentifierDecl	* l2meta = NULL		2	0					
ANR	50	IdentifierDeclType	QCowL2Meta *		2	0					
ANR	51	Identifier	l2meta		2	1					
ANR	52	AssignmentExpression	* l2meta = NULL		2	2		=			
ANR	53	Identifier	NULL		2	0					
ANR	54	Identifier	NULL		2	1					
ANR	55	ExpressionStatement	"trace_qcow2_writev_start_req ( qemu_coroutine_self ( ) , offset , bytes )"	15:4:514:580	2	9	True				
ANR	56	CallExpression	"trace_qcow2_writev_start_req ( qemu_coroutine_self ( ) , offset , bytes )"		2	0					
ANR	57	Callee	trace_qcow2_writev_start_req		2	0					
ANR	58	Identifier	trace_qcow2_writev_start_req		2	0					
ANR	59	ArgumentList	qemu_coroutine_self ( )		2	1					
ANR	60	Argument	qemu_coroutine_self ( )		2	0					
ANR	61	CallExpression	qemu_coroutine_self ( )		2	0					
ANR	62	Callee	qemu_coroutine_self		2	0					
ANR	63	Identifier	qemu_coroutine_self		2	0					
ANR	64	ArgumentList			2	1					
ANR	65	Argument	offset		2	1					
ANR	66	Identifier	offset		2	0					
ANR	67	Argument	bytes		2	2					
ANR	68	Identifier	bytes		2	0					
ANR	69	ExpressionStatement	"qemu_iovec_init ( & hd_qiov , qiov -> niov )"	17:4:587:624	2	10	True				
ANR	70	CallExpression	"qemu_iovec_init ( & hd_qiov , qiov -> niov )"		2	0					
ANR	71	Callee	qemu_iovec_init		2	0					
ANR	72	Identifier	qemu_iovec_init		2	0					
ANR	73	ArgumentList	& hd_qiov		2	1					
ANR	74	Argument	& hd_qiov		2	0					
ANR	75	UnaryOperationExpression	& hd_qiov		2	0					
ANR	76	UnaryOperator	&		2	0					
ANR	77	Identifier	hd_qiov		2	1					
ANR	78	Argument	qiov -> niov		2	1					
ANR	79	PtrMemberAccess	qiov -> niov		2	0					
ANR	80	Identifier	qiov		2	0					
ANR	81	Identifier	niov		2	1					
ANR	82	ExpressionStatement	s -> cluster_cache_offset = - 1	19:4:631:659	2	11	True				
ANR	83	AssignmentExpression	s -> cluster_cache_offset = - 1		2	0		=			
ANR	84	PtrMemberAccess	s -> cluster_cache_offset		2	0					
ANR	85	Identifier	s		2	0					
ANR	86	Identifier	cluster_cache_offset		2	1					
ANR	87	UnaryOperationExpression	- 1		2	1					
ANR	88	UnaryOperator	-		2	0					
ANR	89	PrimaryExpression	1		2	1					
