command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1	File	tmp/FFmpeg_f20b6717_15947.c								
ANR	2	Function	ff_aac_encode_tns_info	1:0:0:1322							
ANR	3	FunctionDef	"ff_aac_encode_tns_info (AACEncContext * s , SingleChannelElement * sce)"		2	0					
ANR	4	CompoundStatement		2:0:73:1322	2	0					
ANR	5	IdentifierDeclStatement	"int i , w , filt , coef_len , coef_compress ;"	3:4:79:118	2	0	True				
ANR	6	IdentifierDecl	i		2	0					
ANR	7	IdentifierDeclType	int		2	0					
ANR	8	Identifier	i		2	1					
ANR	9	IdentifierDecl	w		2	1					
ANR	10	IdentifierDeclType	int		2	0					
ANR	11	Identifier	w		2	1					
ANR	12	IdentifierDecl	filt		2	2					
ANR	13	IdentifierDeclType	int		2	0					
ANR	14	Identifier	filt		2	1					
ANR	15	IdentifierDecl	coef_len		2	3					
ANR	16	IdentifierDeclType	int		2	0					
ANR	17	Identifier	coef_len		2	1					
ANR	18	IdentifierDecl	coef_compress		2	4					
ANR	19	IdentifierDeclType	int		2	0					
ANR	20	Identifier	coef_compress		2	1					
ANR	21	IdentifierDeclStatement	const int coef_res = MAX_LPC_PRECISION == 4 ? 1 : 0 ;	4:4:124:175	2	1	True				
ANR	22	IdentifierDecl	coef_res = MAX_LPC_PRECISION == 4 ? 1 : 0		2	0					
ANR	23	IdentifierDeclType	const int		2	0					
ANR	24	Identifier	coef_res		2	1					
ANR	25	AssignmentExpression	coef_res = MAX_LPC_PRECISION == 4 ? 1 : 0		2	2		=			
ANR	26	Identifier	coef_res		2	0					
ANR	27	ConditionalExpression	MAX_LPC_PRECISION == 4 ? 1 : 0		2	1					
ANR	28	Condition	MAX_LPC_PRECISION == 4		2	0					
ANR	29	EqualityExpression	MAX_LPC_PRECISION == 4		2	0		==			
ANR	30	Identifier	MAX_LPC_PRECISION		2	0					
ANR	31	PrimaryExpression	4		2	1					
ANR	32	PrimaryExpression	1		2	1					
ANR	33	PrimaryExpression	0		2	2					
ANR	34	IdentifierDeclStatement	const int is8 = sce -> ics . window_sequence [ 0 ] == EIGHT_SHORT_SEQUENCE ;	5:4:181:248	2	2	True				
ANR	35	IdentifierDecl	is8 = sce -> ics . window_sequence [ 0 ] == EIGHT_SHORT_SEQUENCE		2	0					
ANR	36	IdentifierDeclType	const int		2	0					
ANR	37	Identifier	is8		2	1					
ANR	38	AssignmentExpression	is8 = sce -> ics . window_sequence [ 0 ] == EIGHT_SHORT_SEQUENCE		2	2		=			
ANR	39	Identifier	is8		2	0					
ANR	40	EqualityExpression	sce -> ics . window_sequence [ 0 ] == EIGHT_SHORT_SEQUENCE		2	1		==			
ANR	41	ArrayIndexing	sce -> ics . window_sequence [ 0 ]		2	0					
ANR	42	MemberAccess	sce -> ics . window_sequence		2	0					
ANR	43	PtrMemberAccess	sce -> ics		2	0					
ANR	44	Identifier	sce		2	0					
ANR	45	Identifier	ics		2	1					
ANR	46	Identifier	window_sequence		2	1					
ANR	47	PrimaryExpression	0		2	1					
ANR	48	Identifier	EIGHT_SHORT_SEQUENCE		2	1					
ANR	49	ExpressionStatement	"put_bits ( & s -> pb , 1 , ! ! sce -> tns . present )"	7:4:255:294	2	3	True				
ANR	50	CallExpression	"put_bits ( & s -> pb , 1 , ! ! sce -> tns . present )"		2	0					
ANR	51	Callee	put_bits		2	0					
ANR	52	Identifier	put_bits		2	0					
ANR	53	ArgumentList	& s -> pb		2	1					
ANR	54	Argument	& s -> pb		2	0					
ANR	55	UnaryOperationExpression	& s -> pb		2	0					
ANR	56	UnaryOperator	&		2	0					
ANR	57	PtrMemberAccess	s -> pb		2	1					
ANR	58	Identifier	s		2	0					
ANR	59	Identifier	pb		2	1					
ANR	60	Argument	1		2	1					
ANR	61	PrimaryExpression	1		2	0					
ANR	62	Argument	! ! sce -> tns . present		2	2					
ANR	63	UnaryOperationExpression	! ! sce -> tns . present		2	0					
ANR	64	UnaryOperator	!		2	0					
ANR	65	UnaryOperationExpression	! sce -> tns . present		2	1					
ANR	66	UnaryOperator	!		2	0					
ANR	67	MemberAccess	sce -> tns . present		2	1					
ANR	68	PtrMemberAccess	sce -> tns		2	0					
ANR	69	Identifier	sce		2	0					
ANR	70	Identifier	tns		2	1					
ANR	71	Identifier	present		2	1					
ANR	72	IfStatement	if ( ! sce -> tns . present )		2	4					
ANR	73	Condition	! sce -> tns . present	9:8:305:321	2	0	True				
ANR	74	UnaryOperationExpression	! sce -> tns . present		2	0					
ANR	75	UnaryOperator	!		2	0					
ANR	76	MemberAccess	sce -> tns . present		2	1					
ANR	77	PtrMemberAccess	sce -> tns		2	0					
ANR	78	Identifier	sce		2	0					
ANR	79	Identifier	tns		2	1					
ANR	80	Identifier	present		2	1					
ANR	81	ReturnStatement	return ;	10:8:332:338	2	1	True				
ANR	82	ForStatement	for ( i = 0 ; i < sce -> ics . num_windows ; i ++ )		2	5					
ANR	83	ForInit	i = 0 ;	12:9:350:355	2	0	True				
ANR	84	AssignmentExpression	i = 0		2	0		=			
ANR	85	Identifier	i		2	0					
ANR	86	PrimaryExpression	0		2	1					
ANR	87	Condition	i < sce -> ics . num_windows	12:16:357:380	2	1	True				
ANR	88	RelationalExpression	i < sce -> ics . num_windows		2	0		<			
ANR	89	Identifier	i		2	0					
ANR	90	MemberAccess	sce -> ics . num_windows		2	1					
ANR	91	PtrMemberAccess	sce -> ics		2	0					
ANR	92	Identifier	sce		2	0					
ANR	93	Identifier	ics		2	1					
ANR	94	Identifier	num_windows		2	1					
ANR	95	PostIncDecOperationExpression	i ++	12:42:383:385	2	2	True				
ANR	96	Identifier	i		2	0					
ANR	97	IncDec	++		2	1					
ANR	98	CompoundStatement		11:47:314:314	2	3					
ANR	99	ExpressionStatement	"put_bits ( & s -> pb , 2 - is8 , sce -> tns . n_filt [ i ] )"	13:8:398:443	2	0	True				
ANR	100	CallExpression	"put_bits ( & s -> pb , 2 - is8 , sce -> tns . n_filt [ i ] )"		2	0					
ANR	101	Callee	put_bits		2	0					
ANR	102	Identifier	put_bits		2	0					
ANR	103	ArgumentList	& s -> pb		2	1					
ANR	104	Argument	& s -> pb		2	0					
ANR	105	UnaryOperationExpression	& s -> pb		2	0					
ANR	106	UnaryOperator	&		2	0					
ANR	107	PtrMemberAccess	s -> pb		2	1					
ANR	108	Identifier	s		2	0					
ANR	109	Identifier	pb		2	1					
ANR	110	Argument	2 - is8		2	1					
ANR	111	AdditiveExpression	2 - is8		2	0		-			
ANR	112	PrimaryExpression	2		2	0					
ANR	113	Identifier	is8		2	1					
ANR	114	Argument	sce -> tns . n_filt [ i ]		2	2					
ANR	115	ArrayIndexing	sce -> tns . n_filt [ i ]		2	0					
ANR	116	MemberAccess	sce -> tns . n_filt		2	0					
ANR	117	PtrMemberAccess	sce -> tns		2	0					
ANR	118	Identifier	sce		2	0					
ANR	119	Identifier	tns		2	1					
